form	type	evidential	form_base	base_label	form_aux	aux_type	aux_morph	deriv_stem	lex_type	struct	res	cr	exp	semnr	formnr	meaning	lang	variant	gltc	lat	lon	aff	datapoint	comment	ref	source
-nwa	perfectoid		-nwa < -na 		awa 	copula	reduced	perfective	converb	synthetic	resultative	current relevance		2	1	res, cr	Lezgian	Lezgian	lezg1247	41.51572	47.89507	Lezgic	glottolog point Lezgian	Auxiliary ‘be in’.		Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.; Greed, Teija. 2017. Evidential coding in Lezgi. Languages of the Caucasus. Volume 2, issue 0 <https://escholarship.org/uc/languagesofcaucasus>.
-Ip(tI)-[person]	perfectoid	unwitnessed	-Ip(tI)-[person] < -Ip 	past converb	tur-a	auxiliary	reduced		converb	synthetic	resultative	current relevance		1	2	res, cr, evidential	Nogai	Nogai	noga1249	43.59168	46.66178	Turkic	glottolog point Nogai	Is said to originate from converb -Ib + auxiliary tur-ur ‘stands’.		Johanson, Lars. 2018. ‘Turkic indirectivity’. Alexandra Y. Aikhenvald (ed.) The Oxford handbook of evidentiality. Oxford: Oxford University Press, 510-524.; Nikolaj A. Baskakov. 1940. Nogajskij jazyk i ego dialekty. Grammatika, teksty i slovar’ [The Nogai language and its dialects. Grammar, texts and dictionary]. Leningrad: Izdatel’stvo akademii nauk SSSR.
-ʁAn-[person]	perfectoid	unwitnessed	-ʁAn-[person]	past participle		no auxiliary	no auxiliary		participle	synthetic	resultative	current relevance		2	2	res, cr, evidential	Nogai	Nogai	noga1249	43.59168	46.66178	Turkic	glottolog point Nogai	No evidential meaning according to Baskakov (1940), though it seems to appear as a narrative tense in the fairy tales he recorded.		Johanson, Lars. 2018. ‘Turkic indirectivity’. Alexandra Y. Aikhenvald (ed.) The Oxford handbook of evidentiality. Oxford: Oxford University Press, 510-524.; Nikolaj A. Baskakov. 1940. Nogajskij jazyk i ego dialekty. Grammatika, teksty i slovar’ [The Nogai language and its dialects. Grammar, texts and dictionary]. Leningrad: Izdatel’stvo akademii nauk SSSR.
-d i 	perfectoid		-d 	perfective participle	i	copula	full	perfective	participle	analytic			experiential	1	2	cr	Rutul	Rutul	rutu1240	41.61866	47.32436	Lezgic	glottolog point Rutul			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
pf.stem a // ʔa	perfectoid			perfective stem	a // ʔa	copula	full	perfective	converb	analytic	resultative	current relevance		2	2	res, cr	Rutul	Rutul	rutu1240	41.61866	47.32436	Lezgic	glottolog point Rutul	Converb is equal to perfective stem.		Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
-na	perfectoid		-na < -un 		a	copula	reduced	perfective	converb	synthetic	resultative	current relevance		2	1	res, cr	Tabasaran	Tabasaran	taba1259	42.01976	47.83791	Lezgic	glottolog point Tabasaran			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
-(w)oː	perfectoid	unwitnessed	-(w)oː < o 	past converb / witnessed past	ija	copula	reduced	bare	converb	synthetic	resultative			2	1	res, evidential	Tindi	Tindi	tind1238	42.454716	46.13469	Andic	village Tindi	Copula reappears in negation. Converb is equal to Past.		Magomedova, Patimat T. 2012. Tindinskij jazyk [The Tindi language]. Makhachkala: IJaLI.; Authier, Gilles (Unpublished).
pf.stem wo-cm-un	perfectoid		prf.stem	perfective stem	wo-cm-un	copula	full	perfective	converb	analytic	resultative	current relevance		2	2	res, cr	Tsakhur	Mishlesh	tsak1249	41.6649	47.089775	Lezgic	village Mishlesh	Converb is equal to perfective stem and Aorist.		Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.; Maisak, Timur A. & Sergei G. Tatevosov. 2007. ‘Beyond evidentiality and mirativity: evidence from Tsakhur’. Zlata Guentchéva & John Landabaru (eds.) L'énonciation médiatisée II. Le traitement épistémologique de l'information:  illustrations amérindiennes et caucasiennes. Louvain/Paris: Peeters, 377-406.
pf.stem wo-cm	perfectoid	unwitnessed	prf.stem	perfective stem	wo-cm	copula	full	perfective	converb	analytic	resultative	current relevance		3	2	res, cr, evidential	Tsakhur	Mishlesh	tsak1249	41.6649	47.089775	Lezgic	village Mishlesh	Converb is equal to perfective stem and Aorist.		Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.; Maisak, Timur A. & Sergei G. Tatevosov. 2007. ‘Beyond evidentiality and mirativity: evidence from Tsakhur’. Zlata Guentchéva & John Landabaru (eds.) L'énonciation médiatisée II. Le traitement épistémologique de l'information:  illustrations amérindiennes et caucasiennes. Louvain/Paris: Peeters, 377-406.
-no/n	perfectoid	unwitnessed	-no/n	perfective converb		no auxiliary	defective		converb	synthetic				1	1	evidential	Tsez	Tsez	dido1241	42.26458	45.80959	Tsezic	glottolog point Tsez	Copula reappears under negation.		Khalilova, Zaira A. 2011. ‘Evidentiality in Tsezic languages’. Linguistic Discovery 9(2), 30-48.
-e=[person]	suffix		-e=[person]			no auxiliary	no auxiliary	perfective	unclear	synthetic	resultative	current relevance	experiential	3	2	res, cr	Udi	Udi	udii1243	40.94	47.66833	Lezgic	village Nizh	Reconstructed as analytic by Maisak (2018: 158), based on negation. Reconstructed form of the lexical verb is the form in -i, which functions as Aorist, Perfective Participle and Aorist Converb.		Maisak, Timur. 2018. ‘The Aorist/Perfect distinction in Nizh Udi’. In Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden/Boston: Brill, 120-165.
<person>-ijo	perfectoid		<person>-ijo	substantivized participle		no auxiliary	no auxiliary	perfective	participle	synthetic	resultative	current relevance	experiential	3	2	res, cr	Udi	Udi	udii1243	40.94	47.66833	Lezgic	village Nizh			Maisak, Timur A. 2016. ‘Perfekt i aorist v nidžskom dialekte udinskogo jazyka’ [The perfect and aorist in the Nizh dialect of Udi].’ Timur A. Maisak, Vladimir A. Plungian, Ksenia P. Semënova (eds.) Tipologija perfekta [Typology of the perfect]. St.-Petersburg: Nauka, 315-378.
